Gene_A,Gene_B,Random Forest probabilities,Random Forest decision_scores,Prob_Bin
PAIP1,ZNF71,0.09,,0
POLR3F,FOXG1,0.0,,0
GOLGA6L22,FRMPD3,0.0,,0
USP44,GABRB3,0.0,,0
PRPF8,KDM5D,0.0,,0
UPP1,MAPK6,0.12,,0
EIF2B3,UBE2Q2,0.03,,0
UQCR10,NAA10,0.07,,0
OR4C46,PSMB2,0.0,,0
IL2RA,CSNK2A3,0.03,,0
LRP2BP,CACNB3,0.0,,0
IL10RB,MYB,0.0,,0
ALPI,EIF2B5,0.0,,0
DYNC2I1,TOMM34,0.0,,0
NIPSNAP3B,LMO3,0.03,,0
L3MBTL3,GPR34,0.06,,0
MAP1LC3A,ROGDI,0.05,,0
EFNB3,NECAB2,0.04,,0
PTGDS,SERAC1,0.02,,0
SLC31A1,GPR161,0.2,,0
PEG10,CYB561A3,0.01,,0
KRT77,DPF3,0.0,,0
MAPKAPK2,YY2,0.02,,0
CTLA4,ISCA2,0.0,,0
LEO1,FLYWCH2,0.1,,0
ASAP3,SIGLEC14,0.07,,0
SLC15A4,GLYATL1,0.04,,0
CUL1,PENK,0.0,,0
MYO7A,SNRNP200,0.0,,0
HIPK2,CLDN4,0.0,,0
XPNPEP2,EED,0.0,,0
CD300C,OR5M3,0.01,,0
WDR3,TDRP,0.02,,0
NDNF,DLGAP3,0.0,,0
SLC6A1,CYB561A3,0.01,,0
CDC40,SPATA31A5,0.0,,0
TRAF5,IL1R2,0.0,,0
HSF4,MDN1,0.02,,0
UNC119B,ECSCR,0.03,,0
POLR1F,EZH1,0.0,,0
TMEM129,BATF,0.0,,0
IGFL4,MOB3C,0.02,,0
RNF2,SOX4,0.0,,0
IDH2,COL2A1,0.0,,0
INHBC,CEACAM6,0.0,,0
PDE1A,ZNF496,0.0,,0
SMYD1,SLFN5,0.02,,0
GTF3C2,JUN,0.0,,0
HHEX,OGT,0.01,,0
PSMC3,PAFAH1B1,0.0,,0
LACTB2,ASAP1,0.06,,0
WASHC5,PRPF8,0.0,,0
POLR1F,TKT,0.05,,0
SUN1,CBLL1,0.0,,0
RB1,TMEM9B,0.0,,0
BRD9,IL1RAP,0.0,,0
ZGLP1,ZNF692,0.19,,0
LRP8,KLHL11,0.04,,0
ACSS2,TIMP2,0.06,,0
LMF2,OXGR1,0.28,,1
NR3C2,POU2F1,0.18,,0
ABCA9,BACH2,0.0,,0
CRMP1,SDHD,0.04,,0
EIF4G3,ATP2A2,0.26,,1
PPP1R15B,SLC9A1,0.0,,0
ATF7,RBMX2,0.0,,0
RIMS4,ZNF587,0.12,,0
OTX1,PBX2,0.06,,0
DUSP29,ISY1,0.0,,0
MAGT1,TFDP1,0.0,,0
FCER1A,TMED2,0.01,,0
GPX3,PRICKLE3,0.03,,0
RPA1,KIF21B,0.05,,0
KLF7,MGLL,0.09,,0
MRPL4,THAP11,0.12,,0
SMIM28,FAM117A,0.02,,0
SKP1,TAF11,0.0,,0
ASPA,SNAPIN,0.0,,0
SMC4,SNRPB,0.0,,0
PLEKHH1,LCE3E,0.01,,0
CMBL,MAPK3,0.05,,0
PEX14,DNAJC21,0.06,,0
AKR1E2,PHF10,0.0,,0
PRLR,RBBP7,0.0,,0
SSTR2,TMEM44,0.03,,0
DDB1,PCDHGB3,0.0,,0
P2RY4,TLR4,0.04,,0
CBX6,SCPEP1,0.0,,0
PRRG3,IFNAR2,0.0,,0
DPY19L1,NIPSNAP3B,0.07,,0
SKP1,SF3B6,0.0,,0
BOP1,SMAD3,0.0,,0
OR1N1,PRKRA,0.01,,0
IK,PGBD5,0.03,,0
CCDC83,COX7A2,0.05,,0
KDELR3,MAPT,0.07,,0
SPINT3,PIGM,0.02,,0
SNX10,SEC14L3,0.03,,0
RCBTB1,MXD4,0.03,,0
CNTN5,SPECC1L,0.13,,0
HLA-A,TRADD,0.0,,0
TNFSF14,RHBDD3,0.0,,0
NEK10,CEBPG,0.0,,0
IL2RG,KAT7,0.0,,0
PSTPIP1,CKAP4,0.15,,0
COL5A2,TFAP2A,0.0,,0
CNNM2,ERGIC2,0.05,,0
RPL10,NRG1,0.0,,0
CD19,OGT,0.0,,0
CCDC63,FMNL3,0.01,,0
CACNA1F,FHL2,0.0,,0
FRAT1,RPL11,0.0,,0
ADH7,FOXK2,0.02,,0
LAMC1,ERN2,0.0,,0
SKP1,PDGFA,0.0,,0
HDHD2,SLC5A9,0.01,,0
ARHGAP6,KRT5,0.01,,0
SYT17,KRTAP9-3,0.0,,0
KRT6C,NIBAN2,0.12,,0
SURF4,MPP7,0.03,,0
TMEM40,TP53INP2,0.1,,0
EEF1AKMT4,MYC,0.0,,0
MCHR2,FAM136A,0.01,,0
TP53I3,SCN4B,0.0,,0
GABRB3,SH2D2A,0.0,,0
ZSCAN20,NEU3,0.05,,0
PPP3CB,MYL3,0.0,,0
SGCA,ZDHHC7,0.0,,0
PCGF2,ANAPC1,0.0,,0
LGSN,SMARCA2,0.0,,0
HCFC2,TP53RK,0.0,,0
DDX53,HSF4,0.0,,0
GPR82,FAM3D,0.02,,0
SZT2,ANO7,0.14,,0
SNX2,RPL35,0.0,,0
SMARCC1,RORA,0.0,,0
CCDC177,IGFBPL1,0.01,,0
POLR2F,PDS5B,0.0,,0
DPYSL3,RPS6KA4,0.01,,0
SKP1,C1QTNF7,0.0,,0
PSMB6,OR10A4,0.0,,0
LAMC1,ACYP2,0.0,,0
ISL2,DYNC1I2,0.0,,0
EDF1,PLAGL2,0.0,,0
TRPC5,HBEGF,0.0,,0
GRIK2,ARID1A,0.0,,0
CUL1,TBC1D2,0.0,,0
WDR11,KIAA2013,0.06,,0
NAP1L1,LLGL1,0.0,,0
LARGE1,NUDT10,0.02,,0
GPX3,PRR23B,0.0,,0
SMIM10L2A,NINL,0.01,,0
SKP1,PDGFA,0.0,,0
CEBPB,DYNLL2,0.0,,0
TNR,OR2D3,0.01,,0
DLK2,SMARCA2,0.0,,0
DMRTA2,SLC4A2,0.1,,0
ELOA2,STEAP1B,0.0,,0
MTA1,RND1,0.1,,0
NUDT6,SF3B3,0.0,,0
SPEF2,SUZ12,0.0,,0
CEBPZOS,PCP4,0.03,,0
SPPL2A,APBA1,0.0,,0
SKP1,PDGFA,0.0,,0
SLC38A6,YPEL1,0.01,,0
ENTR1,RGPD4,0.07,,0
CCL13,HEPHL1,0.02,,0
SNX32,MAP3K21,0.01,,0
MAN1A1,EXD2,0.02,,0
SKP1,TAF11,0.0,,0
PPP2R1A,NHEJ1,0.0,,0
ZIC4,KAT6A,0.0,,0
BCCIP,PCGF3,0.0,,0
CBLL2,SHISA2,0.0,,0
GALNT4,LAMB2,0.0,,0
TRMT112,ZNF462,0.0,,0
USP9X,RNF38,0.58,,2
OR51F2,SLC14A1,0.0,,0
LCOR,GMFB,0.0,,0
FAM171A2,CDC5L,0.0,,0
RBM22,KLHL35,0.0,,0
TRMO,WASL,0.16,,0
CDC26,KRT13,0.0,,0
TRAPPC3,TLR10,0.0,,0
TIFA,DDX52,0.01,,0
ARPC1B,ARHGAP22,0.0,,0
COX6A1,S100A4,0.2,,0
PLOD3,SEPHS1,0.09,,0
EFNA1,CUL4A,0.0,,0
SYF2,ACER1,0.0,,0
SNRPD3,SPINK1,0.0,,0
AGO1,ARHGAP24,0.0,,0
TRPA1,PPP1R1C,0.07,,0
HMGN2,MAGI2,0.0,,0
TGFBR2,INTS6,0.0,,0
MLYCD,RGPD4,0.12,,0
CYP4B1,CXCR3,0.0,,0
CUL1,PENK,0.0,,0
IL2RG,KAT7,0.0,,0
EPC1,DYNC1LI1,0.0,,0
TMEM107,DSTN,0.08,,0
TAF12,ICAM4,0.0,,0
SST,RUNDC3A,0.01,,0
PFDN1,IRAK1,0.04,,0
DDX18,PLBD2,0.16,,0
MANEAL,TAFA5,0.06,,0
KIFC2,GYPB,0.0,,0
CCNB3,UGT2B11,0.01,,0
PDS5A,DUS1L,0.62,,3
FAM171A2,CDC5L,0.0,,0
TMEM217,RPRD1B,0.05,,0
CUL3,HTR2A,0.0,,0
CACNG1,LGMN,0.0,,0
IL22RA2,SMARCC2,0.0,,0
CYB5D1,CHMP1A,0.04,,0
CRTAM,MESP1,0.03,,0
PGAP1,APBA1,0.0,,0
C7orf25,OTUD6B,0.52,,2
GOSR2,SUN2,0.0,,0
PLXNC1,RPL11,0.0,,0
ZNF248,DNAAF6,0.03,,0
HSD3B7,POLR3H,0.02,,0
DAO,ZNF497,0.02,,0
FAXDC2,RAB1B,0.08,,0
ARHGAP42,CEBPB,0.0,,0
KRTAP10-11,BRDT,0.0,,0
RNASE12,RAB39B,0.0,,0
RBBP7,RCAN3,0.0,,0
SDSL,PER2,0.01,,0
KAT2B,NPIPB15,0.02,,0
HCFC2,ECT2L,0.0,,0
SUSD5,XKRX,0.05,,0
TYSND1,QARS1,0.02,,0
OR2J2,LRRC47,0.15,,0
SV2A,HMGXB3,0.08,,0
MYL9,SF3B5,0.0,,0
ZNF764,LUZP4,0.01,,0
LMAN1L,SNU13,0.0,,0
PDRG1,COLGALT2,0.01,,0
PSMB4,HSDL1,0.0,,0
DTL,ADGRE2,0.06,,0
KCNH8,EPHX3,0.02,,0
UBQLN3,CALCR,0.0,,0
SKP1,TAF11,0.0,,0
IQCM,EXOSC6,0.0,,0
C1orf50,EFTUD2,0.0,,0
RPS9,NAXD,0.0,,0
CTAGE6,OR4C15,0.0,,0
CAPNS2,VCP,0.0,,0
CHIC2,NMUR2,0.01,,0
IL1F10,DENND3,0.0,,0
SRR,CCDC182,0.01,,0
ING5,BEND5,0.0,,0
AZIN1,KCTD10,0.04,,0
SH3KBP1,PDHB,0.0,,0
PIGC,RASA3,0.04,,0
USP1,VCP,0.0,,0
PRKAB1,TOMM34,0.0,,0
FRAT2,EXOSC10,0.0,,0
CLDN23,FREM1,0.06,,0
PDGFC,BIRC5,0.0,,0
MRPL55,SART3,0.03,,0
DNAJC1,CWC15,0.0,,0
FGD5,MEI4,0.0,,0
SLC35D3,TSPEAR,0.08,,0
FRAT1,MTOR,0.0,,0
CCDC38,WNT2,0.03,,0
VEGFC,PXDN,0.04,,0
AGPAT4,CBX7,0.0,,0
SLC35G2,GBP6,0.01,,0
OR4A5,KIF16B,0.01,,0
OR1C1,SMNDC1,0.01,,0
EIF3G,PTPRA,0.03,,0
SLC9A3,MDH1,0.01,,0
RECQL,HBB,0.0,,0
SCN3B,GCNT4,0.0,,0
SNRPG,TAS2R16,0.0,,0
CEP76,MLF1,0.13,,0
ALG8,AQP7,0.05,,0
TNFRSF8,DHX33,0.06,,0
OR8D4,UFSP2,0.04,,0
ALDOC,PSMD14,0.0,,0
PCGF2,ANAPC1,0.0,,0
S100P,SLC39A1,0.13,,0
PHLDA2,CHAMP1,0.04,,0
DNAJC1,CWC15,0.0,,0
TLK2,EXOSC2,0.0,,0
PIWIL3,PPP4R1,0.0,,0
PIAS4,SPRR2F,0.0,,0
SLC26A7,LRFN2,0.04,,0
GSK3A,SNAP91,0.0,,0
TRPC1,BAZ1B,0.0,,0
RBM8A,DMAP1,0.0,,0
ABCC3,RING1,0.0,,0
C4A,BSND,0.07,,0
INPP1,NKAPL,0.01,,0
LY6G6C,HACE1,0.02,,0
NOSIP,MSMO1,0.13,,0
KDM2A,FCRL4,0.01,,0
DNA2,TTC12,0.17,,0
ABCB5,EFR3B,0.01,,0
BICD1,GRIK1,0.0,,0
OR4A5,ADRA1A,0.01,,0
NAA30,ACTL6A,0.0,,0
MTX1,PTPN11,0.08,,0
AGO3,MAGOHB,0.0,,0
SKP1,TLR1,0.0,,0
SDHA,IL4R,0.0,,0
NAT8,CUL3,0.0,,0
PEMT,PRLHR,0.03,,0
LUC7L3,PCNX1,0.39,,1
OR5H15,IL1A,0.0,,0
BLOC1S2,OR51E2,0.0,,0
SNRNP200,POLR3F,0.0,,0
CALM3,LCMT2,0.03,,0
AKAP4,DCAF4L1,0.02,,0
HLCS,NTF3,0.04,,0
MC2R,CCR10,0.01,,0
GABRB2,CACNA2D2,0.0,,0
TSPAN13,CPA6,0.05,,0
NKX2-8,PHC3,0.0,,0
PGLYRP4,ACRV1,0.15,,0
RBBP4,RPL19,0.0,,0
CTTNBP2NL,RBM8A,0.0,,0
ZNF296,ZNF418,0.06,,0
CALHM6,ELOC,0.0,,0
ABCB8,ITGAV,0.0,,0
PSMD1,THAP8,0.0,,0
PDGFA,EVI5L,0.0,,0
CYB5RL,CACNG2,0.0,,0
UGT2B4,LCP2,0.06,,0
TLK1,CRTC3,0.49,,2
SNX1,ELOC,0.0,,0
PTGS1,ADAM30,0.0,,0
AANAT,SREBF2,0.0,,0
SKP1,PDGFA,0.0,,0
PPFIA2,TEAD1,0.11,,0
SMIM2,SERPINB5,0.0,,0
OR6C76,GPR27,0.0,,0
SELENOK,EID1,0.27,,1
FOXJ2,TRAPPC4,0.0,,0
NINJ2,BCAS1,0.02,,0
NXT1,LCOR,0.0,,0
HLA-DQB2,CDHR4,0.01,,0
FGD2,TUBG1,0.06,,0
ANO4,AGO3,0.04,,0
KLRK1,KLHL10,0.01,,0
OSTC,LRRN1,0.01,,0
RNF44,RBMY1B,0.01,,0
DGKG,PPP2CA,0.0,,0
KLK7,CA5A,0.01,,0
SLC35A1,KRTAP9-7,0.0,,0
OR10A7,ADAMTS10,0.0,,0
OR2AT4,OR4C12,0.07,,0
NTAQ1,JHY,0.24,,1
ABCC3,RING1,0.0,,0
ANKRD12,CALR,0.08,,0
CD7,SMARCB1,0.0,,0
SRD5A3,FMN1,0.07,,0
PIRT,TAF6,0.0,,0
RBMX,CTNNBIP1,0.01,,0
ZDHHC9,C4orf36,0.05,,0
PUM3,KCNV1,0.02,,0
NUDT15,PLPP2,0.12,,0
SMARCC1,TAMALIN,0.0,,0
LMF1,EPHX2,0.0,,0
FN1,EIF2AK3,0.04,,0
TNFSF11,LRIF1,0.0,,0
PSMC2,SYDE1,0.0,,0
CEBPB,DYNLL2,0.0,,0
SLC37A4,DYNLRB2,0.0,,0
CD40LG,TNFSF8,0.09,,0
CEP135,PSMA7,0.0,,0
SMARCE1,PLCE1,0.0,,0
ZNF385D,EXD2,0.04,,0
AGPS,FOXD4L1,0.0,,0
GNS,TFDP1,0.0,,0
MYL2,PRR14,0.02,,0
RBBP7,C1orf52,0.0,,0
TMEM86B,COPZ2,0.19,,0
BCL2L11,METTL2A,0.01,,0
KCNJ14,DENND10,0.05,,0
NDN,CNTF,0.01,,0
ADM,P4HTM,0.1,,0
TMED5,PRSS23,0.08,,0
ADAMTS16,ANAPC16,0.0,,0
SETD4,RTL9,0.15,,0
EGR4,PMM1,0.04,,0
LIN54,FBXO48,0.0,,0
GINS2,POLR2E,0.0,,0
C8orf88,GSTA1,0.01,,0
TMEM89,RPS19,0.01,,0
LGALS8,ATP6V1D,0.01,,0
PLPP4,ZDHHC11B,0.11,,0
PFDN2,SPOPL,0.0,,0
MAML1,TMEM65,0.42,,2
SKP1,TAF11,0.0,,0
ITGB1,SS18,0.0,,0
PROK2,PNPLA7,0.04,,0
RASSF4,CNOT6,0.0,,0
EIF3G,CCDC106,0.08,,0
NAALADL2,SLC45A2,0.02,,0
GK2,TFB1M,0.0,,0
AKT1,KLK3,0.0,,0
KNDC1,CACNB3,0.0,,0
MRPS16,DGLUCY,0.01,,0
CRTAP,CCND3,0.03,,0
NOL11,CISD1,0.03,,0
BIRC3,CACNA1C,0.0,,0
SF3B6,SLN,0.0,,0
ATF4,CTNNBIP1,0.0,,0
SKP1,TAF11,0.0,,0
LORICRIN,UGT2A3,0.01,,0
PVR,CH25H,0.04,,0
SNRPF,LMO4,0.0,,0
NKAIN1,TMEM273,0.03,,0
ZNF397,TRAPPC2L,0.01,,0
PRPF8,KDM5D,0.0,,0
CLVS2,AP1G2,0.01,,0
CCL19,IDH1,0.03,,0
DCAF7,ACTB,0.0,,0
RNF2,SOX4,0.0,,0
KCNA3,ASCL2,0.0,,0
ZNF641,SPA17,0.08,,0
AKAP5,SYT14,0.0,,0
SEPTIN12,ATF4,0.0,,0
DR1,EIF4A3,0.0,,0
LIPC,N4BP2,0.01,,0
MAP4K5,MDM2,0.04,,0
REX1BD,ALDH1A3,0.0,,0
SNRPF,ADGRG6,0.0,,0
WDR7,TBCK,0.04,,0
CAMTA1,SLC35A3,0.03,,0
CNOT11,ZFAND2B,0.01,,0
SYPL2,PPP4R4,0.04,,0
PCDHGA11,ATP6V0C,0.0,,0
DDX60,ACTB,0.0,,0
NDUFA3,ACTB,0.0,,0
PSMC4,PRRC2C,0.0,,0
E2F4,FASN,0.01,,0
TRPV2,ANKRD33B,0.0,,0
ULBP3,CTSC,0.0,,0
RBBP7,MGA,0.0,,0
HABP4,TSEN54,0.24,,1
AP3M1,SGSH,0.05,,0
DNAAF6,DBNDD2,0.0,,0
MVB12B,POLR3H,0.0,,0
IRF2BP2,RFTN2,0.02,,0
PRSS53,DBT,0.03,,0
IQCC,MNAT1,0.02,,0
SOCS5,UBAC2,0.03,,0
RALBP1,LRRC47,0.16,,0
DDX18,IFNK,0.04,,0
SNRPB2,DLG5,0.0,,0
MKNK2,H2BC11,0.0,,0
SMARCC1,RORA,0.0,,0
XG,S100A5,0.02,,0
YARS1,DVL2,0.11,,0
PCGF2,ANAPC1,0.0,,0
S100A9,BCO2,0.0,,0
SMG5,NYAP2,0.02,,0
IL12A,PHAX,0.01,,0
GSAP,RIOK1,0.01,,0
PIAS2,VGF,0.01,,0
GPM6B,LRRC46,0.01,,0
GABRA5,TNS3,0.0,,0
FOSL2,C10orf105,0.0,,0
ERG28,CCR1,0.04,,0
GCKR,TRIB1,0.0,,0
CLEC9A,CAPS,0.01,,0
GASK1A,AFAP1,0.03,,0
SMARCC2,CNBD2,0.0,,0
SYPL2,PRRG1,0.03,,0
DMRTB1,TTPA,0.0,,0
OR4X2,UBL5,0.0,,0
VPS35,UTP6,0.0,,0
MSRA,TCEA2,0.04,,0
WASHC5,NKAPL,0.0,,0
TMEM259,INPP5A,0.09,,0
ICA1L,TIMM21,0.03,,0
UBE2E2,PSENEN,0.0,,0
INTS2,CALCR,0.0,,0
NPTX1,CAMK1D,0.11,,0
MARF1,ZNF775,0.17,,0
SLC6A14,ARPC3,0.0,,0
OR2F1,PSG4,0.03,,0
NUTM2A,SF3B3,0.0,,0
MDM4,ONECUT2,0.02,,0
AGT,LAMB1,0.0,,0
TFB2M,PRR35,0.04,,0
TEFM,CSNK2A1,0.0,,0
MRPL33,PSMA2,0.0,,0
ERH,ARMH1,0.03,,0
VPS9D1,RBFOX3,0.04,,0
C12orf50,KRT27,0.01,,0
DLK1,MYG1,0.0,,0
MRAS,OCRL,0.0,,0
CR1L,METTL22,0.18,,0
MFSD14B,RMDN2,0.1,,0
ICAM2,IRF8,0.01,,0
FAM219A,TBK1,0.0,,0
PSMB3,ZNF407,0.0,,0
CDK6,FRMD4B,0.02,,0
CYB5R4,WDR38,0.01,,0
ANKRD49,FOXQ1,0.0,,0
RRP8,TNNT2,0.06,,0
ZW10,G6PC1,0.0,,0
SPACA3,POSTN,0.0,,0
PPBP,MAP9,0.03,,0
PALLD,SCN3A,0.0,,0
TMEM185B,FOXD4,0.05,,0
VIPAS39,MRPL18,0.0,,0
ELOA2,LRRC8D,0.0,,0
SKP1,ITGA8,0.0,,0
CX3CL1,DCAF7,0.02,,0
WASHC2C,ZNF410,0.0,,0
CLK2,SCD5,0.02,,0
BATF2,CD200R1L,0.0,,0
H2BC12,WBP1L,0.08,,0
PAGR1,KRTAP5-7,0.01,,0
WDTC1,SLC25A30,0.05,,0
TNC,KRT15,0.01,,0
ZNF540,BMI1,0.0,,0
SNRPB2,DLG5,0.0,,0
SMARCA5,RET,0.0,,0
GPR150,OSGEP,0.02,,0
YIF1B,TMEM74,0.08,,0
CCDC191,FAAP100,0.28,,1
RPL23A,MARS1,0.0,,0
TMEM229A,SSR1,0.0,,0
ATP1A3,PRKAB2,0.0,,0
CTTNBP2NL,SNRPB2,0.0,,0
SP9,ANK1,0.0,,0
SAE1,SMARCA2,0.0,,0
TMC6,CLCA1,0.0,,0
EPOP,ARID1A,0.0,,0
DPYSL3,SF3B1,0.0,,0
WSB2,TUBA3C,0.02,,0
SKP2,CNTLN,0.35,,1
RP1L1,TMEM65,0.01,,0
MUS81,SPRR3,0.01,,0
SLIT3,MYEF2,0.03,,0
ITGA6,LYPD1,0.0,,0
TERB2,KRTAP4-12,0.01,,0
CEP135,PSMA7,0.0,,0
HECTD2,THAP5,0.03,,0
SF3A1,ARNT,0.0,,0
BCL7C,CREB5,0.0,,0
CCDC138,KIF17,0.1,,0
NEMP1,CD247,0.0,,0
SMC4,SNRPB,0.0,,0
OR8K3,ELMOD2,0.0,,0
IL18BP,MAP3K2,0.03,,0
CA10,ANAPC11,0.0,,0
CMTM6,ENTHD1,0.07,,0
PTPRJ,PHC3,0.0,,0
ANXA8,IFNA5,0.03,,0
ACOT2,TLR9,0.0,,0
TTC27,SPAG1,0.08,,0
CBX6,GORASP1,0.0,,0
SDR42E2,CYGB,0.02,,0
SKP1,PDGFA,0.0,,0
POLRMT,GRIK4,0.0,,0
AFAP1L1,PCDH11X,0.09,,0
PIGT,PCDHGA8,0.05,,0
STARD4,GPBP1,0.02,,0
S100A9,ZAR1,0.0,,0
IL20RA,PAFAH1B2,0.0,,0
GABRA5,XPNPEP3,0.0,,0
PAK4,PTPRR,0.01,,0
ZNF391,ODF2L,0.03,,0
HKDC1,OPRL1,0.0,,0
HEYL,C3orf22,0.0,,0
NHLH1,TSPAN11,0.02,,0
UBE2L3,ZNF395,0.03,,0
ETV3L,PPP1CA,0.0,,0
TPST2,PACRG,0.0,,0
CRNKL1,AP1M1,0.0,,0
SMG6,LHX3,0.01,,0
FBXO4,STRN4,0.03,,0
PRELID3A,DDX28,0.18,,0
KCNH2,ATG16L1,0.0,,0
OST4,NIPAL4,0.0,,0
LDHAL6B,GSG1,0.01,,0
RRBP1,STRN,0.01,,0
SYNJ2,DPF1,0.0,,0
METTL3,CACNG5,0.0,,0
DYNC2I1,DNTT,0.0,,0
MSI1,RNF223,0.08,,0
FAIM2,PSMB5,0.0,,0
ZNF707,KLHDC9,0.06,,0
LMX1A,NBEAL2,0.04,,0
ATF2,B4GALT3,0.0,,0
OR5B3,UCHL5,0.0,,0
PREP,CSNK2A1,0.0,,0
SLC6A19,GID8,0.0,,0
DENND2A,PCGF2,0.0,,0
ZGLP1,DCDC2B,0.16,,0
ADM2,PNISR,0.01,,0
KRT77,CEP112,0.0,,0
MICU1,CDK4,0.0,,0
SUPT3H,TTYH1,0.0,,0
SPCS3,LILRA2,0.01,,0
GLRX,RSPO3,0.04,,0
GABRA4,MTHFD2,0.0,,0
PPP4R2,SERF2,0.01,,0
LDLRAD2,GPR153,0.19,,0
PRKAB2,THADA,0.0,,0
ZFAND4,RPL14,0.0,,0
TRMT112,ITPK1,0.0,,0
UBXN6,TTLL4,0.35,,1
FOLR1,IGIP,0.05,,0
SPSB2,UBR2,0.01,,0
PHEX,FAM237B,0.02,,0
TSPY10,ARHGAP45,0.05,,0
VARS2,ADGRL1,0.19,,0
CENPVL2,PHAX,0.0,,0
RYBP,FBXL15,0.0,,0
ESYT3,CLIP1,0.07,,0
FBP2,HACD4,0.02,,0
FCSK,HLA-G,0.36,,1
NDUFA11,RFX8,0.03,,0
CH25H,PSMB3,0.0,,0
VN1R4,POLE,0.01,,0
SMARCA4,SGCD,0.0,,0
PCGF2,LRRC75B,0.0,,0
ASPG,MCEE,0.01,,0
CBX6,NEXMIF,0.0,,0
SKP1,PDGFA,0.0,,0
SNX11,STK32B,0.05,,0
EHD3,TAOK2,0.03,,0
SLC7A7,USP33,0.01,,0
TMEM38B,GAGE10,0.03,,0
TMEM132E,MXRA5,0.0,,0
IQCM,EXOSC6,0.0,,0
RUBCN,SERPINB3,0.0,,0
CLEC11A,FGF7,0.01,,0
SCN3B,ITIH6,0.0,,0
CEBPA,ACSL4,0.0,,0
KLRC1,GAS2L1,0.02,,0
PDE8B,HSPE1,0.02,,0
CD93,GATAD2B,0.0,,0
LMOD1,HTR3D,0.0,,0
GAGE13,MCF2L2,0.0,,0
MMRN1,FAM76B,0.03,,0
NEFL,AGRP,0.08,,0
POLR2I,OR6T1,0.0,,0
CDC40,PPP2R5C,0.0,,0
ARFIP2,CEBPG,0.0,,0
CYBA,SNRNP70,0.0,,0
STX4,OR51G1,0.0,,0
GPR119,TNFRSF9,0.0,,0
PRMT3,HILPDA,0.01,,0
ETNK1,HPCA,0.02,,0
TWSG1,LAP3,0.07,,0
PHRF1,SLU7,0.0,,0
NRDE2,OR4C3,0.0,,0
NR1D2,OR5D14,0.0,,0
APBB1,OSBPL1A,0.03,,0
RBBP5,USP21,0.0,,0
LRRC31,HS3ST2,0.0,,0
SKP1,ZDHHC8,0.0,,0
GON4L,QRFP,0.01,,0
CUL5,CBX4,0.0,,0
R3HDM1,FMR1,0.0,,0
SLC25A4,LRRC37A2,0.06,,0
IL11,SUZ12,0.0,,0
SKP1,SF3B6,0.0,,0
FGA,TOPORS,0.0,,0
PPP1R1A,KNG1,0.02,,0
BOK,GLIPR1,0.08,,0
HP,DYNLL1,0.0,,0
GSAP,IL13RA2,0.0,,0
IFIT2,LXN,0.0,,0
PHF5A,KLB,0.0,,0
YIPF7,SH3GL1,0.01,,0
NAGA,LYRM2,0.11,,0
SCFD1,LGALS4,0.0,,0
ATP6AP2,MAT1A,0.0,,0
SLC6A17,CHRNA2,0.01,,0
CD300A,GVQW3,0.1,,0
ACTR1A,MAOA,0.08,,0
NHLH1,EIF4A3,0.0,,0
SSH3,YIPF5,0.15,,0
DNASE1L3,RNF126,0.01,,0
PPM1L,UBE2E2,0.12,,0
MTMR10,FOXO3,0.03,,0
CELF4,EZH1,0.0,,0
IL31RA,DYNC1I2,0.0,,0
PIN1,LLGL1,0.01,,0
EIF2AK4,TM9SF2,0.08,,0
OR51Q1,TAF1,0.0,,0
TUSC1,GOLGA6L22,0.01,,0
PCDHA6,PLEK2,0.01,,0
TMEM30A,PRSS23,0.0,,0
STK11,SPATA16,0.0,,0
C20orf144,DDX56,0.11,,0
CACNG1,WDR33,0.0,,0
MANF,TRIM49,0.01,,0
PURB,TRPC6,0.02,,0
KRTAP9-1,S100A8,0.0,,0
STEEP1,DPM1,0.01,,0
MIGA2,COPB1,0.01,,0
GAD2,NCF2,0.0,,0
DAZ1,TLX2,0.01,,0
SPC24,TMEM216,0.03,,0
CES2,RARA,0.0,,0
SKP1,TLR1,0.0,,0
PHC3,SNTA1,0.0,,0
RBBP4,PRKRA,0.0,,0
DPP3,STK26,0.05,,0
SLC52A1,SEC14L4,0.27,,1
OR52J3,XYLT1,0.04,,0
ZCCHC9,IL6ST,0.0,,0
IFNAR1,CD200R1L,0.0,,0
CRNKL1,ATP6V1D,0.0,,0
USP53,SLC12A1,0.1,,0
SKP1,TAF11,0.0,,0
PAX4,GPR143,0.0,,0
CCZ1,NR1H2,0.01,,0
C22orf42,SEC23IP,0.0,,0
CNN1,SDR16C5,0.01,,0
CPNE5,RBMY1A1,0.0,,0
SERPING1,LAMB1,0.0,,0
HOXD11,SMIM21,0.01,,0
FOXL1,ATP6V0E1,0.01,,0
CD28,KRTAP21-3,0.0,,0
RPL17,GPR119,0.0,,0
ATF4,OR6C3,0.0,,0
LDHA,CNOT1,0.0,,0
RFX1,CRY2,0.0,,0
SETBP1,SIGIRR,0.0,,0
ORC1,FOXO6,0.01,,0
ZBBX,SLC35G5,0.02,,0
PSMB6,MANSC1,0.0,,0
INTS3,SGK1,0.0,,0
VTN,PSMA1,0.0,,0
ASF1B,RING1,0.0,,0
SPTBN2,IL6ST,0.0,,0
ANXA7,CSF2,0.01,,0
OR52R1,ACTR2,0.0,,0
